#version DVT_OsloSpecs20190523,,,,,,,,
product,sku,test_mode,phase_name,,measurement_name,Typ,low_limit,high_limit
,,,oslo_test,,azi_Target_0.4_Angle_-50_cal_coeffs_Rx0_Ival,,-50000,50000
,,,oslo_test,,azi_Target_0.4_Angle_-50_cal_coeffs_Rx0_Qval,,-50000,50000
,,,oslo_test,,azi_Target_0.4_Angle_-50_cal_coeffs_Rx1_Ival,,-50000,50000
,,,oslo_test,,azi_Target_0.4_Angle_-50_cal_coeffs_Rx1_Qval,,-50000,50000
,,,oslo_test,,azi_Target_0.4_Angle_-50_cal_coeffs_Rx2_Ival,,-50000,50000
,,,oslo_test,,azi_Target_0.4_Angle_-50_cal_coeffs_Rx2_Qval,,-50000,50000
,,,oslo_saturation_test,,ele_Target_0.4_Angle_Boresight_saturation_Rx0,,-1,100
,,,oslo_saturation_test,,ele_Target_0.4_Angle_Boresight_saturation_Rx1,,-1,100
,,,oslo_saturation_test,,ele_Target_0.4_Angle_Boresight_saturation_Rx2,,-1,100
,,,oslo_saturation_test,,ele_Target_1.0_Angle_Boresight_saturation_Rx0,,-1,100
,,,oslo_saturation_test,,ele_Target_1.0_Angle_Boresight_saturation_Rx1,,-1,100
,,,oslo_saturation_test,,ele_Target_1.0_Angle_Boresight_saturation_Rx2,,-1,100
,,,oslo_impulse_test,,ele_Target_1.0_Angle_Boresight_chirps,,-1,3000
,,,oslo_impulse_test,,ele_Target_1.0_Angle_Boresight_impulse_Rx0,,-1,3000
,,,oslo_impulse_test,,ele_Target_1.0_Angle_Boresight_impulse_Rx1,,-1,3000
,,,oslo_impulse_test,,ele_Target_1.0_Angle_Boresight_impulse_Rx2,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_Boresight_chirps,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_Boresight_impulse_Rx0,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_Boresight_impulse_Rx1,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_Boresight_impulse_Rx2,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_50_chirps,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_50_impulse_Rx0,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_50_impulse_Rx1,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_50_impulse_Rx2,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_-50_chirps,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_-50_impulse_Rx0,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_-50_impulse_Rx1,,-1,3000
,,,oslo_impulse_test,,ele_Target_0.4_Angle_-50_impulse_Rx2,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_50_chirps,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_50_impulse_Rx0,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_50_impulse_Rx1,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_50_impulse_Rx2,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_-50_chirps,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_-50_impulse_Rx0,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_-50_impulse_Rx1,,-1,3000
,,,oslo_impulse_test,,azi_Target_0.4_Angle_-50_impulse_Rx2,,-1,3000
