SN,Time,TestTime,Result,Brightness,Uniformity,ImageQuality,PWM,CameraID,TestMode,FailureMessage,maxPWMBrightness,GlobalFactora,GlobalFactorb,GlobalFactorc,GridBlockMin,GridBlockMax,DarkNoise,Centerx,Centery,PWM20Perecent,PWM20BrightnessRaw,RetryCounter
C07Z300GN4CM,Thu Nov  7 22:49:19 20,22,fail,1379.17045,75.475444,56.502695,733,50604451,Calibration,,6333.028058,0.000345,27.97,-74.89,29.324219,68.726115,1.799583,598,488,1539.143409,57.664922,1
C07Z300GN4CM,Thu Nov  7 22:49:57 20,24,fail,1382.686773,73.961217,52.550179,738,50604451,Calibration,,6321.106988,0.000345,27.97,-74.89,27.5,67.315068,1.824896,609,483,1536.153395,57.558173,2
C07Z300GN4CM,Thu Nov  7 22:50:35 20,22,fail,1377.72537,77.072434,59.538293,732,50604451,Calibration,,6343.170014,0.000345,27.97,-74.89,30.910156,67.420382,1.855718,610,508,1542.16836,57.772918,1
C07Z300GN4CM,Thu Nov  7 22:51:15 20,22,fail,1379.781534,73.985973,54.575592,737,50604451,Calibration,,6318.472722,0.000345,27.97,-74.89,28.417969,67.157534,1.855486,617,498,1537.467621,57.605093,1
C07Z300GN4CM,Thu Nov  7 22:52:07 20,36,fail,1382.026056,76.053377,52.148553,733,50604451,Calibration,,6326.865671,0.000345,27.97,-74.89,27.054688,65.832031,1.905595,610,477,1539.892783,57.691676,1
C07YX02AN4CM,Thu Nov  7 22:53:16 20,22,fail,1378.252339,76.324312,67.730121,678,50604451,Calibration,,6491.77351,0.000345,27.97,-74.89,35.234375,65.480469,1.907755,602,517,1664.202854,62.129534,1
C07YX02AN4CM,Thu Nov  7 22:53:58 20,22,fail,1379.195625,78.487893,73.155695,677,50604451,Calibration,,6507.684933,0.000345,27.97,-74.89,38.085938,64.894531,1.904245,605,475,1670.100699,62.340074,1
C07YX02AN4CM,Thu Nov  7 22:54:49 20,33,fail,1377.107408,79.6807,80.768686,678,50604451,Calibration,,6508.707537,0.000345,27.97,-74.89,41.863281,64.367188,1.900667,598,498,1662.343934,62.063174,5
C07YX02AN4CM,Thu Nov  7 22:55:26 20,21,fail,1382.577736,78.54386,74.714235,680,50604451,Calibration,,6501.541971,0.000345,27.97,-74.89,38.71875,64.769531,1.854076,599,523,1667.140797,62.234412,1
C07YX02AN4CM,Thu Nov  7 22:56:06 20,22,fail,1380.325203,76.04128,73.597519,679,50604451,Calibration,,6489.372948,0.000345,27.97,-74.89,38.234375,66.152344,1.841726,615,501,1665.457712,62.17433,1
C07YX02AN4CM,Thu Nov  7 22:56:43 20,22,fail,1380.0381,76.498116,70.071981,677,50604451,Calibration,,6493.550575,0.000345,27.97,-74.89,36.394531,65.636719,1.815981,597,521,1670.136084,62.341337,1
C07YX02AN4CM,Thu Nov  7 22:57:23 20,24,fail,1380.183207,76.568564,63.098094,675,50604451,Calibration,,6486.125155,0.000345,27.97,-74.89,32.722656,64.814103,1.851838,606,483,1662.821857,62.080235,2
C07YX02AN4CM,Thu Nov  7 22:58:01 20,22,fail,1379.91977,79.153348,72.937673,676,50604451,Calibration,,6507.399665,0.000345,27.97,-74.89,37.84375,64.605469,1.822218,607,497,1670.222909,62.344437,1
C07YX02AN4CM,Thu Nov  7 22:58:54 20,36,fail,1380.071104,77.219872,74.984745,676,50604451,Calibration,,6494.464523,0.000345,27.97,-74.89,38.832031,64.636719,1.977364,610,487,1668.071074,62.267621,1
C07YX02AN4CM,Thu Nov  7 22:59:31 20,22,fail,1377.326449,78.203716,77.031885,677,50604451,Calibration,,6494.632727,0.000345,27.97,-74.89,39.816406,64.789062,1.938268,622,475,1663.167607,62.092577,1
